,datetime,ask,bid
847,2023-07-19 15:15:31.815429,1.29518,1.29506
848,2023-07-19 15:15:31.896538,1.29518,1.29506
849,2023-07-19 15:15:31.964452,1.29518,1.29506
850,2023-07-19 15:15:32.035936,1.29518,1.29506
851,2023-07-19 15:15:32.103832,1.29518,1.29506
852,2023-07-19 15:15:32.173575,1.29518,1.29506
853,2023-07-19 15:15:32.241915,1.29518,1.29506
854,2023-07-19 15:15:32.321615,1.29518,1.29506
855,2023-07-19 15:15:32.389303,1.29518,1.29506
856,2023-07-19 15:15:32.458386,1.29518,1.29506
857,2023-07-19 15:15:32.548145,1.29518,1.29506
858,2023-07-19 15:15:32.683783,1.29518,1.29506
859,2023-07-19 15:15:32.809448,1.29518,1.29506
860,2023-07-19 15:15:32.910073,1.29518,1.29506
861,2023-07-19 15:15:33.022772,1.29518,1.29506
862,2023-07-19 15:15:33.149432,1.29518,1.29506
863,2023-07-19 15:15:33.284072,1.29518,1.29506
864,2023-07-19 15:15:33.388793,1.29518,1.29506
865,2023-07-19 15:15:33.467581,1.29518,1.29506
866,2023-07-19 15:15:33.559337,1.29518,1.29506
867,2023-07-19 15:15:33.651090,1.29518,1.29506
868,2023-07-19 15:15:33.738417,1.29518,1.29506
869,2023-07-19 15:15:33.811222,1.29518,1.29506
870,2023-07-19 15:15:33.893682,1.29518,1.29506
871,2023-07-19 15:15:33.976463,1.29518,1.29506
872,2023-07-19 15:15:34.063228,1.29518,1.29506
873,2023-07-19 15:15:34.160968,1.29518,1.29506
874,2023-07-19 15:15:34.296645,1.29518,1.29506
875,2023-07-19 15:15:34.394802,1.29518,1.29506
876,2023-07-19 15:15:34.488186,1.29518,1.29506
877,2023-07-19 15:15:34.611611,1.29518,1.29506
878,2023-07-19 15:15:34.687364,1.29518,1.29506
879,2023-07-19 15:15:34.767995,1.29518,1.29506
880,2023-07-19 15:15:34.835679,1.29518,1.29506
881,2023-07-19 15:15:34.899610,1.29518,1.29506
882,2023-07-19 15:15:34.974241,1.29518,1.29506
883,2023-07-19 15:15:35.040730,1.29518,1.29506
884,2023-07-19 15:15:35.107271,1.29518,1.29506
885,2023-07-19 15:15:35.170283,1.29518,1.29506
886,2023-07-19 15:15:35.262867,1.29518,1.29506
887,2023-07-19 15:15:35.343451,1.29518,1.29506
888,2023-07-19 15:15:35.421913,1.29518,1.29506
889,2023-07-19 15:15:35.487865,1.29518,1.29506
890,2023-07-19 15:15:35.553644,1.29518,1.29506
891,2023-07-19 15:15:35.622619,1.29518,1.29506
892,2023-07-19 15:15:35.698155,1.29518,1.29506
893,2023-07-19 15:15:35.769900,1.29518,1.29506
894,2023-07-19 15:15:35.877890,1.29518,1.29506
895,2023-07-19 15:15:35.993878,1.29518,1.29506
896,2023-07-19 15:15:36.097306,1.29518,1.29506
897,2023-07-19 15:15:36.188139,1.29518,1.29506
898,2023-07-19 15:15:36.275369,1.29518,1.29506
899,2023-07-19 15:15:36.341007,1.29518,1.29506
900,2023-07-19 15:15:36.420501,1.29518,1.29506
901,2023-07-19 15:15:36.537771,1.29518,1.29506
902,2023-07-19 15:15:36.771220,1.29518,1.29506
903,2023-07-19 15:15:36.851512,1.29518,1.29506
904,2023-07-19 15:15:36.924095,1.29518,1.29506
905,2023-07-19 15:15:36.982733,1.29518,1.29506
906,2023-07-19 15:15:37.196772,1.29518,1.29506
907,2023-07-19 15:15:37.317978,1.29518,1.29506
908,2023-07-19 15:15:37.409733,1.29518,1.29506
909,2023-07-19 15:15:37.485153,1.29518,1.29506
910,2023-07-19 15:15:37.559844,1.29518,1.29506
911,2023-07-19 15:15:37.634795,1.29518,1.29506
912,2023-07-19 15:15:37.701104,1.29518,1.29506
913,2023-07-19 15:15:37.774223,1.29518,1.29506
914,2023-07-19 15:15:37.834026,1.29518,1.29506
915,2023-07-19 15:15:37.896511,1.29518,1.29506
916,2023-07-19 15:15:38.006034,1.29518,1.29506
917,2023-07-19 15:15:38.228743,1.29518,1.29506
918,2023-07-19 15:15:38.337459,1.29518,1.29506
919,2023-07-19 15:15:38.433190,1.29518,1.29506
920,2023-07-19 15:15:38.521941,1.29518,1.29506
921,2023-07-19 15:15:38.582265,1.29518,1.29506
922,2023-07-19 15:15:38.775388,1.29518,1.29506
923,2023-07-19 15:15:38.841724,1.29518,1.29506
924,2023-07-19 15:15:38.904505,1.29518,1.29506
925,2023-07-19 15:15:38.966666,1.29518,1.29506
926,2023-07-19 15:15:39.043623,1.29518,1.29506
927,2023-07-19 15:15:39.106109,1.29518,1.29506
928,2023-07-19 15:15:39.181160,1.29518,1.29506
929,2023-07-19 15:15:39.251959,1.29518,1.29506
930,2023-07-19 15:15:39.378601,1.29518,1.29506
931,2023-07-19 15:15:39.524210,1.29518,1.29506
932,2023-07-19 15:15:39.631923,1.29518,1.29506
933,2023-07-19 15:15:39.736642,1.29518,1.29506
934,2023-07-19 15:15:39.814396,1.29518,1.29506
935,2023-07-19 15:15:39.874213,1.29518,1.29506
936,2023-07-19 15:15:39.944301,1.29518,1.29506
937,2023-07-19 15:15:40.008059,1.29518,1.29506
938,2023-07-19 15:15:40.089410,1.29518,1.29506
939,2023-07-19 15:15:40.168944,1.29518,1.29506
940,2023-07-19 15:15:40.252571,1.29518,1.29506
941,2023-07-19 15:15:40.332793,1.29518,1.29506
942,2023-07-19 15:15:40.400763,1.29518,1.29506
943,2023-07-19 15:15:40.468737,1.29518,1.29506
944,2023-07-19 15:15:40.600260,1.29518,1.29506
945,2023-07-19 15:15:40.700350,1.29518,1.29506
946,2023-07-19 15:15:40.776718,1.29518,1.29506
947,2023-07-19 15:15:40.832404,1.29518,1.29506
948,2023-07-19 15:15:40.916658,1.29518,1.29506
949,2023-07-19 15:15:40.986191,1.29518,1.29506
950,2023-07-19 15:15:41.047562,1.29518,1.29506
951,2023-07-19 15:15:41.106604,1.29518,1.29506
952,2023-07-19 15:15:41.169090,1.29518,1.29506
953,2023-07-19 15:15:41.247567,1.29518,1.29506
954,2023-07-19 15:15:41.320904,1.29518,1.29506
955,2023-07-19 15:15:41.384240,1.29518,1.29506
956,2023-07-19 15:15:41.466508,1.29518,1.29506
957,2023-07-19 15:15:41.544282,1.29518,1.29506
958,2023-07-19 15:15:41.614981,1.29518,1.29506
959,2023-07-19 15:15:41.681791,1.29518,1.29506
960,2023-07-19 15:15:41.764188,1.29518,1.29506
961,2023-07-19 15:15:41.833790,1.29518,1.29506
962,2023-07-19 15:15:41.896108,1.29518,1.29506
963,2023-07-19 15:15:41.967437,1.29518,1.29506
964,2023-07-19 15:15:42.051651,1.29518,1.29506
965,2023-07-19 15:15:42.132096,1.29518,1.29506
966,2023-07-19 15:15:42.197864,1.29518,1.29506
967,2023-07-19 15:15:42.425150,1.29518,1.29506
968,2023-07-19 15:15:42.500463,1.29518,1.29506
969,2023-07-19 15:15:42.587841,1.29518,1.29506
